gut_id,title,authors,languages,downloads,subjects,gutenberg_epub_url
35433,"Observations on Mount Vesuvius, Mount Etna, and Other Volcanos","Hamilton, William, Sir",en,358,"Etna, Mount (Italy) -- Early works to 1800; Vesuvius (Italy) -- Early works to 1800; Volcanoes -- Italy -- Early works to 1800",https://www.gutenberg.org/ebooks/35433.epub3.images
38444,A Discourse Being Introductory to his Course of Lectures on Elocution and the English Language (1759),"Sheridan, Thomas",en,358,Elocution -- Study and teaching -- Early works to 1800,https://www.gutenberg.org/ebooks/38444.epub3.images
53513,Hands Around [Reigen]: A Cycle of Ten Dialogues,"Schnitzler, Arthur",en,358,Austrian drama -- 19th century; Sex (Psychology) -- Drama; Sexual ethics -- Drama,https://www.gutenberg.org/ebooks/53513.epub3.images
62685,Ducks and Geese: Standard Breeds and Management,"Howard, George E. (George Ellsworth)",en,358,Ducks; Geese,https://www.gutenberg.org/ebooks/62685.epub3.images
69022,Worlds in the making: The evolution of the universe,"Arrhenius, Svante",en,358,Cosmogony,https://www.gutenberg.org/ebooks/69022.epub3.images
9080,The Children's Own Longfellow,"Longfellow, Henry Wadsworth",en,357,"Children's poetry, American",https://www.gutenberg.org/ebooks/9080.epub3.images
11662,"Scientific American Supplement, No. 598, June 18, 1887",Various,en,357,Science -- Periodicals,https://www.gutenberg.org/ebooks/11662.epub3.images
15283,Disease and Its Causes,"Councilman, W. T. (William Thomas)",en,357,Diseases -- Causes and theories of causation,https://www.gutenberg.org/ebooks/15283.epub3.images
16270,"Scientific American Supplement, No. 623, December 10, 1887",Various,en,357,Science -- Periodicals,https://www.gutenberg.org/ebooks/16270.epub3.images
19559,Book of illustrations : Ancient Tragedy,"Sophocles, Euripides, Aeschylus, Moulton, Richard G. (Richard Green)",en,357,Greek drama (Tragedy) -- Translations into English,https://www.gutenberg.org/ebooks/19559.epub3.images
59579,"The American Agriculturist. Vol. II. No. XI, December 1843: Designed to Improve the Planter, the Farmer, the Stock-breeder, and the Horticulturist",Various,en,357,Agriculture -- Periodicals; Agriculture -- United States -- Periodicals,https://www.gutenberg.org/ebooks/59579.epub3.images
61402,Sand dunes story,"Bessken, Donna P. (Donna Paul)",en,357,Death Valley National Park (Calif. and Nev.) -- Guidebooks; Natural history -- Death Valley National Park (Calif. and Nev.) -- Guidebooks; Sand dunes -- Death Valley National Park (Calif. and Nev.) -- Guidebooks,https://www.gutenberg.org/ebooks/61402.epub3.images
