domain,gut_id,title,authors,languages,downloads,subjects,preferred_source,preferred_url,gutenberg_epub_url
literature_core,31698,A History of Nineteenth Century Literature (1780-1895),"Saintsbury, George",en,3769,English literature -- 19th century -- History and criticism,gutenberg,https://www.gutenberg.org/ebooks/31698.epub3.images,https://www.gutenberg.org/ebooks/31698.epub3.images
literature_core,2434,New Atlantis,"Bacon, Francis",en,3701,Utopias -- Early works to 1800,gutenberg,https://www.gutenberg.org/ebooks/2434.epub3.images,https://www.gutenberg.org/ebooks/2434.epub3.images
literature_core,131,"The Pilgrim's Progress from this world to that which is to come: Delivered under the similitude of a dream, by John Bunyan","Bunyan, John",en,3686,Christian fiction; Christian pilgrims and pilgrimages -- Fiction,gutenberg,https://www.gutenberg.org/ebooks/131.epub3.images,https://www.gutenberg.org/ebooks/131.epub3.images
literature_core,468,Manon Lescaut,"Prévost, abbé",en,3666,"Adventure stories; Lescaut, Manon, 1689-1721 -- Fiction; Man-woman relationships -- Fiction",gutenberg,https://www.gutenberg.org/ebooks/468.epub3.images,https://www.gutenberg.org/ebooks/468.epub3.images
literature_core,14568,Sir Gawayne and the Green Knight: An Alliterative Romance-Poem (c. 1360 A.D.),Unknown,"en,enm",3654,Arthurian romances; Gawain (Legendary character) -- Romances,gutenberg,https://www.gutenberg.org/ebooks/14568.epub3.images,https://www.gutenberg.org/ebooks/14568.epub3.images
literature_core,67138,The Sun Also Rises,"Hemingway, Ernest",en,3635,"Americans -- France -- Fiction; Americans -- Spain -- Fiction; Ashley, Brett (Fictitious character) -- Fiction; Expatriation -- Fiction; Spain -- History -- Alfonso XIII, 1886-1931 -- Fiction",standardebooks,https://standardebooks.org/ebooks/ernest-hemingway/the-sun-also-rises/downloads/ernest-hemingway_the-sun-also-rises.epub?source=feed,https://www.gutenberg.org/ebooks/67138.epub3.images
literature_core,30201,In Praise of Folly: Illustrated with Many Curious Cuts,"Erasmus, Desiderius",en,3628,Folly -- Early works to 1800,gutenberg,https://www.gutenberg.org/ebooks/30201.epub3.images,https://www.gutenberg.org/ebooks/30201.epub3.images
literature_core,3420,A Vindication of the Rights of Woman: With Strictures on Political and Moral Subjects,"Wollstonecraft, Mary",en,3617,Feminism; Women -- Education -- Great Britain; Women -- History -- 19th century; Women's rights -- Great Britain,gutenberg,https://www.gutenberg.org/ebooks/3420.epub3.images,https://www.gutenberg.org/ebooks/3420.epub3.images
literature_core,21839,Sense and Sensibility,"Austen, Jane",en,3603,Domestic fiction; England -- Fiction; England -- Social life and customs -- 19th century -- Fiction; Gentry -- England -- Fiction; Inheritance and succession -- Fiction; Love stories; Mate selection -- Fiction; Regency fiction; Sisters -- Fiction; Social classes -- Fiction; Young women -- Fiction,gutenberg,https://www.gutenberg.org/ebooks/21839.epub3.images,https://www.gutenberg.org/ebooks/21839.epub3.images
literature_core,23639,Plutarch's Morals,Plutarch,en,3600,Ethics -- Early works to 1800,gutenberg,https://www.gutenberg.org/ebooks/23639.epub3.images,https://www.gutenberg.org/ebooks/23639.epub3.images
literature_core,15,"Moby-Dick; or, The Whale","Melville, Herman",en,3526,"Adventure stories; Ahab, Captain (Fictitious character) -- Fiction; Mentally ill -- Fiction; Psychological fiction; Sea stories; Ship captains -- Fiction; Whales -- Fiction; Whaling -- Fiction; Whaling ships -- Fiction",gutenberg,https://www.gutenberg.org/ebooks/15.epub3.images,https://www.gutenberg.org/ebooks/15.epub3.images
literature_core,22456,The Aeneid of Virgil,Virgil,en,3521,"Aeneas (Legendary character) -- Poetry; Epic poetry, Latin -- Translations into English",standardebooks,https://standardebooks.org/ebooks/virgil/the-aeneid/john-dryden/downloads/virgil_the-aeneid_john-dryden.epub?source=feed,https://www.gutenberg.org/ebooks/22456.epub3.images
literature_core,830,The Argonautica,"Apollonius, Rhodius",en,3478,"Argonauts (Greek mythology); Classical literature; Jason -- (Mythological character); Medea, consort of Aegeus, King of Athens (Mythological character)",gutenberg,https://www.gutenberg.org/ebooks/830.epub3.images,https://www.gutenberg.org/ebooks/830.epub3.images
literature_core,257,Troilus and Criseyde,"Chaucer, Geoffrey",en,3466,Cressida (Fictitious character) -- Poetry; Troilus (Legendary character) -- Poetry; Trojan War -- Poetry; Troy (Extinct city) -- Poetry,gutenberg,https://www.gutenberg.org/ebooks/257.epub3.images,https://www.gutenberg.org/ebooks/257.epub3.images
literature_core,6762,Politics: A Treatise on Government,Aristotle,en,3463,Political science -- Early works to 1800,gutenberg,https://www.gutenberg.org/ebooks/6762.epub3.images,https://www.gutenberg.org/ebooks/6762.epub3.images
literature_core,1081,Dead Souls,"Gogol, Nikolai Vasilevich",en,3457,Humorous stories; Russia -- Social life and customs -- 1533-1917 -- Fiction; Satire; Swindlers and swindling -- Russia -- Fiction,standardebooks,https://standardebooks.org/ebooks/nikolai-gogol/dead-souls/c-j-hogarth/downloads/nikolai-gogol_dead-souls_c-j-hogarth.epub?source=feed,https://www.gutenberg.org/ebooks/1081.epub3.images
literature_core,122,The Return of the Native,"Hardy, Thomas",en,3391,Adultery -- Fiction; Didactic fiction; Heathlands -- Fiction; Love stories; Mate selection -- Fiction; Mothers and sons -- Fiction; People with visual disabilities -- Fiction; Wessex (England) -- Fiction,standardebooks,https://standardebooks.org/ebooks/thomas-hardy/the-return-of-the-native/downloads/thomas-hardy_the-return-of-the-native.epub?source=feed,https://www.gutenberg.org/ebooks/122.epub3.images
literature_core,57342,The Lives and Opinions of Eminent Philosophers,Diogenes Laertius,en,3343,"Philosophers, Ancient -- Biography; Philosophy, Ancient",gutenberg,https://www.gutenberg.org/ebooks/57342.epub3.images,https://www.gutenberg.org/ebooks/57342.epub3.images
literature_core,28488,"Tartuffe; Or, The Hypocrite",Molière,en,3335,Comedy plays; French drama -- 17th century -- Translations into English,standardebooks,https://standardebooks.org/ebooks/moliere/tartuffe/curtis-hidden-page/downloads/moliere_tartuffe_curtis-hidden-page.epub?source=feed,https://www.gutenberg.org/ebooks/28488.epub3.images
literature_core,13726,"Apology, Crito, and Phaedo of Socrates",Plato,en,3327,"Socrates, 470 BC-399 BC",gutenberg,https://www.gutenberg.org/ebooks/13726.epub3.images,https://www.gutenberg.org/ebooks/13726.epub3.images
literature_core,1515,The Merchant of Venice,"Shakespeare, William",en,3295,Comedy plays; Jews -- Italy -- Drama; Moneylenders -- Drama; Venice (Italy) -- Drama,standardebooks,https://standardebooks.org/ebooks/william-shakespeare/the-merchant-of-venice/downloads/william-shakespeare_the-merchant-of-venice.epub?source=feed,https://www.gutenberg.org/ebooks/1515.epub3.images
literature_core,348,"Hesiod, the Homeric Hymns, and Homerica",Hesiod,en,3262,"Epic poetry, Greek; Epic poetry, Greek -- Translations into English; Gods, Greek -- Poetry; Hesiod -- Translations into English; Hymns, Greek (Classical) -- Translations into English",gutenberg,https://www.gutenberg.org/ebooks/348.epub3.images,https://www.gutenberg.org/ebooks/348.epub3.images
literature_core,32528,"The Lusiad; Or, The Discovery of India, an Epic Poem","Camões, Luís de",en,3261,"Epic poetry, Portuguese -- Translations into English; Explorers -- Portugal -- Poetry; Gama, Vasco da, 1469-1524 -- Poetry; India -- Discovery and exploration -- Poetry; Portugal -- Colonies -- Asia -- Poetry; Portuguese poetry -- Classical period, 1500-1700 -- Translations into English",gutenberg,https://www.gutenberg.org/ebooks/32528.epub3.images,https://www.gutenberg.org/ebooks/32528.epub3.images
literature_core,1750,Laws,Plato,en,3251,"Political science -- Early works to 1800; State, The -- Early works to 1800",gutenberg,https://www.gutenberg.org/ebooks/1750.epub3.images,https://www.gutenberg.org/ebooks/1750.epub3.images
literature_core,39784,"Mother Goose's Nursery Rhymes: A Collection of Alphabets, Rhymes, Tales, and Jingles",Unknown,en,3228,Alphabet rhymes; Children's poetry; Children's songs; Humorous poetry; Nursery rhymes,gutenberg,https://www.gutenberg.org/ebooks/39784.epub3.images,https://www.gutenberg.org/ebooks/39784.epub3.images
literature_core,15877,Thoughts of Marcus Aurelius Antoninus,"Marcus Aurelius, Emperor of Rome",en,3179,"Ethics; Life; Marcus Aurelius, Emperor of Rome, 121-180; Stoics",gutenberg,https://www.gutenberg.org/ebooks/15877.epub3.images,https://www.gutenberg.org/ebooks/15877.epub3.images
literature_core,208,Daisy Miller: A Study,"James, Henry",en,3162,Americans -- Europe -- Fiction; Europe -- Fiction; Psychological fiction; Young women -- Fiction,gutenberg,https://www.gutenberg.org/ebooks/208.epub3.images,https://www.gutenberg.org/ebooks/208.epub3.images
literature_core,14988,"Cicero's Tusculan Disputations: Also, Treatises On The Nature Of The Gods, And On The Commonwealth","Cicero, Marcus Tullius",en,3159,"Gods, Roman -- Early works to 1800; Happiness -- Early works to 1800; Political science -- Early works to 1800; Rome -- Politics and government -- 265-30 B.C.; State, The -- Early works to 1800; Theology -- Early works to 1800",gutenberg,https://www.gutenberg.org/ebooks/14988.epub3.images,https://www.gutenberg.org/ebooks/14988.epub3.images
literature_core,33768,"The Middle English Poem, Erthe Upon Erthe",Unknown,en,3158,"English poetry -- Middle English, 1100-1500",gutenberg,https://www.gutenberg.org/ebooks/33768.epub3.images,https://www.gutenberg.org/ebooks/33768.epub3.images
literature_core,27805,The Wind in the Willows,"Grahame, Kenneth",en,3099,Animals -- Fiction; Country life -- Fiction; England -- Fiction; Fantasy fiction; Friendship -- Fiction; Humorous stories; Pastoral fiction; River life -- Fiction,standardebooks,https://standardebooks.org/ebooks/kenneth-grahame/the-wind-in-the-willows/downloads/kenneth-grahame_the-wind-in-the-willows.epub?source=feed,https://www.gutenberg.org/ebooks/27805.epub3.images
literature_core,27761,Hamlet,"Shakespeare, William",en,3075,Denmark -- Drama; Fathers -- Death -- Drama; Hamlet (Legendary character) -- Drama; Kings and rulers -- Succession -- Drama; Murder victims' families -- Drama; Princes -- Drama; Revenge -- Drama; Tragedies (Drama),standardebooks,https://standardebooks.org/ebooks/william-shakespeare/hamlet/downloads/william-shakespeare_hamlet.epub?source=feed,https://www.gutenberg.org/ebooks/27761.epub3.images
literature_core,1906,"Erewhon; Or, Over the Range","Butler, Samuel",en,3073,Satire; Utopian fiction; Utopias -- Fiction,gutenberg,https://www.gutenberg.org/ebooks/1906.epub3.images,https://www.gutenberg.org/ebooks/1906.epub3.images
literature_core,60,The Scarlet Pimpernel,"Orczy, Emmuska Orczy, Baroness",en,3069,"Adventure stories; Blakeney, Percy, Sir (Fictitious character) -- Fiction; British -- France -- Fiction; France -- History -- Revolution, 1789-1799 -- Fiction; Historical fiction; Nobility -- Fiction",standardebooks,https://standardebooks.org/ebooks/baroness-orczy/the-triumph-of-the-scarlet-pimpernel/downloads/baroness-orczy_the-triumph-of-the-scarlet-pimpernel.epub?source=feed,https://www.gutenberg.org/ebooks/60.epub3.images
literature_core,1726,Theaetetus,Plato,en,3030,"Classical literature; Knowledge, Theory of -- Early works to 1800",gutenberg,https://www.gutenberg.org/ebooks/1726.epub3.images,https://www.gutenberg.org/ebooks/1726.epub3.images
literature_core,1653,The Imitation of Christ,"Thomas, à Kempis",en,3016,Catholic Church -- Doctrines -- Early works to 1800; Meditations -- Early works to 1800; Spiritual life -- Catholic Church -- Early works to 1800,gutenberg,https://www.gutenberg.org/ebooks/1653.epub3.images,https://www.gutenberg.org/ebooks/1653.epub3.images
literature_core,1572,Timaeus,Plato,en,2915,Classical literature; Cosmology -- Early works to 1800,gutenberg,https://www.gutenberg.org/ebooks/1572.epub3.images,https://www.gutenberg.org/ebooks/1572.epub3.images
